nose length,right_ear length,left_ear length,weight
0.711194056,0.788808054,0.76389206,0
0.712275092,0.789562986,0.764927883,0
0.692892225,0.781089004,0.756409095,0
0.691168892,0.780935059,0.75361604,0
0.694267514,0.783167,0.756052638,0
0.673270522,0.76078811,0.740979854,0
0.666203127,0.753660766,0.73117497,0
0.673077945,0.755703953,0.734079416,0
0.675621273,0.756042846,0.739918283,0
0.679059479,0.756528638,0.741191515,0
0.680182738,0.75656443,0.742006885,0
0.683017059,0.758107959,0.74597023,0
0.688553786,0.760552261,0.749204609,0
0.691171289,0.763224727,0.748915351,0
0.691364095,0.763709078,0.746959322,0
0.688818126,0.762945792,0.745455358,0
0.686661569,0.759324958,0.743569134,0
0.688818511,0.763481235,0.741847046,0
0.68763948,0.765141937,0.742257821,0
0.677251567,0.760915774,0.739377459,0
0.674567404,0.7592328,0.738753872,0
0.682393642,0.76657366,0.748348519,0
0.683422531,0.765812449,0.74790916,0
0.69143708,0.767963321,0.750918262,0
0.691358009,0.769852632,0.747301451,0
0.715627053,0.779311505,0.768858214,0
0.72159138,0.782626044,0.768278397,0
0.723297298,0.782986144,0.766423842,0
0.726229742,0.783296853,0.764814527,0
0.727010553,0.783093807,0.765408471,0
0.725763698,0.784792001,0.764934394,0
0.714466057,0.780739017,0.760421539,0
0.700122785,0.774729519,0.754878937,0
0.696628707,0.771284684,0.754551357,0
0.698150685,0.770342798,0.752456069,0
0.696612722,0.769287701,0.751797356,0
0.698235644,0.769566111,0.752586655,0
0.695173224,0.768576469,0.752548328,0
0.698605626,0.77233075,0.756708546,0
0.687111018,0.769349525,0.745439317,0
0.706372874,0.783136977,0.751077792,0
0.731333956,0.800711205,0.762104121,0
0.736455524,0.811498009,0.758414068,0
0.745196999,0.817265172,0.762464536,0
0.744337645,0.815805295,0.758747928,0
0.755612336,0.813292723,0.771295233,0
0.765757603,0.826058825,0.783344069,0
0.766574262,0.828305862,0.784500255,0
0.776765149,0.835656935,0.792862291,0
0.776404603,0.834378939,0.791457889,0
0.775062587,0.833555914,0.790299275,0
0.777537265,0.834748872,0.788970092,0
0.776288357,0.833122689,0.78918592,0
0.788168582,0.843905779,0.80049778,0
0.79202486,0.848209077,0.806639867,0
0.792690562,0.847503101,0.809918185,0
0.795037228,0.847816953,0.812053348,0
0.786884006,0.839895879,0.812065496,0
0.779153083,0.831012532,0.809539314,0
0.767900973,0.820547257,0.799948258,0
0.765105246,0.820070809,0.793889795,0
0.765169205,0.819618098,0.794444071,0
0.764274596,0.814837859,0.794227882,0
0.769871829,0.823874405,0.801078711,0
0.770016214,0.824370236,0.801717549,0
0.771189833,0.824617659,0.805534446,0
0.768018605,0.823130175,0.803813319,0
0.753054099,0.804727254,0.79010516,0
0.743383777,0.807276462,0.782720822,0
0.743254823,0.797714422,0.783584935,0
0.741090631,0.796429522,0.780268242,0
0.742186854,0.797492939,0.781113191,0
0.746246397,0.802540479,0.784994921,0
0.740829655,0.802752378,0.779076258,0
0.744878297,0.807484295,0.780980584,0
0.747516748,0.807345858,0.783661951,0
